,Property Address,Property City,Sale Price,Latitude,Longitude,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
980,4019  ALBERT  DR,NASHVILLE,$1300.0k,36.1021858,-86.788354,,,,,,20,10,8,20,20
981,535  DRAKE  AVE,NASHVILLE,$204.5k,36.101681,-86.749218,,,,,,20,12,6,20,20
982,3301   HOBBS  RD,NASHVILLE,$1900.0k,36.1015803,-86.8300155,,,,,,20,6,5,20,20
983,4208  ESTES  RD,NASHVILLE,$1735.0k,36.1013875,-86.8379956,,,,,,20,5,6,20,20
984,3201  SAINDON  ST,NASHVILLE,$312.0k,36.1011704,-86.7432678,,,,,,20,12,6,20,20
985,2209  HOBBS  RD,NASHVILLE,$1835.0k,36.101005,-86.8234853,,,,,,20,8,6,20,20
986,203  ANTIOCH  PIKE,NASHVILLE,$565.0k,36.100665,-86.732715,,,,,,20,12,6,20,20
987,290   FORREST VALLEY  DR,NASHVILLE,$450.0k,36.1006623,-86.9375741,,,,,,20,5,4,6,10
988,290   FORREST VALLEY  DR,NASHVILLE,$173.0k,36.1006623,-86.9375741,,,,,,20,5,4,6,10
989,201  ANTIOCH  PIKE,NASHVILLE,$565.0k,36.100654,-86.732547,,,,,,20,12,6,20,20
990,193  ANTIOCH  PIKE,NASHVILLE,$565.0k,36.100644,-86.732375,,,,,,20,12,6,20,20
991,189  ANTIOCH  PIKE,NASHVILLE,$565.0k,36.100634,-86.73221,,,,,,20,12,6,20,20
992,112  VADEN  DR,NASHVILLE,$480.0k,36.1002291,-86.722677,,,,,,20,12,6,20,20
993,4221  STAMMER  PL,NASHVILLE,$920.0k,36.1002162,-86.8219596,,,,,,20,8,6,20,20
994,1705  D VILLE  DR,NASHVILLE,$343.0k,36.1001098,-86.6674241,,,,,,20,8,3,5,20
995,4210  HILLSBORO  PIKE,NASHVILLE,$444.0k,36.0998799,-86.8197438,,,,,,20,8,6,20,20
996,210  MCCALL  ST,NASHVILLE,$307.0k,36.0996925,-86.7372565,,,,,,20,11,6,20,20
997,622  ENQUIRER  AVE,NASHVILLE,$2600.0k,36.0991078,-86.8586357,,,,,,20,5,4,20,20
998,107  OAK MEADOW  LN,NASHVILLE,$480.0k,36.099065,-86.810872,,,,,,20,9,6,20,20
999,501  RAYMOND  ST,NASHVILLE,$282.0k,36.0986971,-86.7435625,,,,,,20,12,5,20,20
1000,87  MCCALL  ST,NASHVILLE,$426.0k,36.0986661,-86.717469,,,,,,20,12,5,20,20
1001,5025  HILLSBORO  PIKE,NASHVILLE,$169.5k,36.098563,-86.823129,,,,,,20,6,6,20,20
1002,4400  BELMONT PARK  TER,NASHVILLE,$489.5k,36.0984101,-86.8044603,,,,,,20,9,8,20,20
1003,4010  IROQUOIS  AVE,NASHVILLE,$1722.9k,36.0972783,-86.8454647,,,,,,20,5,5,20,20
