PID,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
1371,20,8,14,20,20,20,7,3,18,20
1372,20,3,7,20,20,20,9,5,3,6
1373,20,8,12,20,20,20,9,2,11,14
1374,20,6,13,20,20,20,6,3,18,20
1375,20,12,20,20,20,20,8,2,13,20
1376,20,8,15,20,20,20,9,2,9,15
1377,20,10,19,20,20,20,8,2,13,20
1378,20,4,15,20,20,20,8,4,5,11
1379,20,8,16,20,20,20,9,2,9,16
1380,20,7,12,20,20,20,9,2,11,16
1381,20,8,16,20,20,20,9,2,9,15
1382,20,8,16,20,20,20,9,2,9,15
1383,20,6,13,20,20,20,6,3,18,20
1384,20,7,13,20,20,20,8,3,9,13
1385,20,7,13,20,20,20,7,2,11,19
1386,20,8,15,20,20,20,8,3,9,12
1387,20,8,16,20,20,20,8,2,9,13
1388,20,6,13,20,20,20,6,2,11,15
1389,20,5,15,20,20,20,7,1,11,15
1390,20,7,13,20,20,20,7,3,10,19
1391,20,7,16,20,20,20,8,2,9,14
1392,20,7,11,20,20,20,7,2,11,11
1393,20,7,11,20,20,20,7,3,11,11
1394,20,5,14,20,20,20,6,1,9,10
1395,20,7,13,20,20,20,8,3,10,11
1396,20,7,11,20,20,20,7,3,11,11
1397,20,4,13,20,20,20,5,1,8,10
1398,20,4,13,20,20,20,5,1,8,10
1399,20,7,16,20,20,20,8,3,9,13
1400,20,4,13,20,20,20,5,1,8,10
1401,20,7,12,20,20,20,7,3,10,19
1402,20,7,16,20,20,20,8,3,9,13
1403,20,7,14,20,20,20,8,3,13,18
1404,20,6,13,20,20,20,8,3,9,11
1405,20,6,15,20,20,20,7,3,8,13
1406,20,6,13,20,20,20,8,3,9,11
1407,20,5,13,20,20,20,6,1,11,15
1408,3,0,0,3,5,1,0,0,0,0
1409,20,5,11,20,20,20,6,3,8,13
1410,20,6,14,20,20,20,7,3,8,12
1411,20,4,10,20,20,20,6,2,8,12
1412,20,4,10,20,20,20,6,2,7,10
1413,20,5,12,20,20,20,6,1,9,12
1414,20,5,13,20,20,20,5,1,10,13
1415,20,5,11,20,20,20,7,2,8,9
1416,20,4,11,20,20,20,6,3,8,11
1417,20,4,8,20,20,20,6,2,7,10
1418,20,4,12,20,20,20,5,2,8,12
1419,20,4,11,20,20,20,5,2,7,12
1420,20,4,11,20,20,20,5,2,7,12
1421,20,4,12,20,20,20,5,2,8,10
1422,20,4,11,20,20,20,5,2,6,9
1423,20,4,6,20,20,17,6,2,7,8
1424,20,4,10,20,20,19,6,2,7,8
1425,20,4,7,20,20,15,6,2,7,8
1426,20,4,7,20,20,15,6,2,7,8
1427,20,4,7,20,20,15,6,2,7,8
1428,20,4,7,20,20,15,6,2,7,8
1429,20,3,7,20,20,15,5,2,6,5
1430,20,3,6,20,20,11,5,2,7,5
1431,20,3,6,20,20,11,5,2,7,5
1432,20,3,6,20,20,11,5,2,6,5
1433,20,2,6,20,20,11,5,2,7,5
1434,20,2,6,20,20,8,3,2,7,6
1435,20,2,6,20,20,8,3,1,7,6
1436,20,2,6,20,20,8,3,1,7,6
1437,20,2,6,20,20,8,3,1,7,6
1438,20,2,6,18,20,18,4,2,7,2
1439,20,2,6,18,20,18,4,2,7,2
1440,20,2,6,20,20,8,3,1,7,6
1441,20,2,6,20,20,12,4,1,6,3
1442,20,2,6,20,20,12,4,1,6,3
1443,20,2,6,20,20,10,4,1,6,3
1444,20,2,6,20,20,10,4,1,6,3
1445,20,2,6,20,20,8,3,2,5,6
1446,20,2,6,20,20,8,3,2,5,6
1447,20,2,6,20,20,8,3,2,5,6
1448,20,2,6,20,20,8,3,2,6,6
1449,20,2,6,20,20,8,3,2,6,6
1450,20,2,5,20,20,7,3,2,6,6
1451,20,2,6,20,20,12,4,1,6,3
1452,20,2,5,20,20,8,4,1,6,3
1453,20,2,6,20,20,12,4,1,6,3
1454,20,2,6,20,20,12,4,1,6,3
1455,20,2,6,20,20,12,4,1,6,3
1456,20,2,6,20,20,12,4,1,6,3
1457,20,2,5,20,20,8,4,1,6,3
